nuts,population
HUXXX,0.00
HUXX,0.00
HUX,0.00
FRXXX,0.00
FRXX,0.00
FRX,0.00
ALXXX,0.00
ALXX,0.00
ALX,0.00
MKXXX,179.00
MKXX,179.00
MKX,179.00
ES703,11154.00
CH054,16145.00
EL643,18814.00
AT321,20320.00
UKM65,22055.00
ES706,22100.00
UKM66,23125.00
EL624,23845.00
UKM64,26688.00
FI200,29789.00
FI20,29789.00
FI2,29789.00
AT331,32670.00
MT002,33388.00
DEB3A,34209.00
DEG04,34835.00
CH062,36433.00
AT111,37513.00
CH064,37841.00
LI000,38378.00
LI00,38378.00
LI0,38378.00
LI,38378.00
EL623,38718.00
DK014,39662.00
EL621,39737.00
DEB37,40403.00
CH051,40403.00
DE255,40792.00
DE243,41249.00
DE251,41847.00
DE231,41970.00
DEG0N,42370.00
EL645,42436.00
DE233,42520.00
CH065,43223.00
DE274,43837.00
DE272,43893.00
HR032,44834.00
EL542,45064.00
DE244,45930.00
NL112,46051.00
EL532,46668.00
DEB33,46677.00
DE223,47794.00
EL412,48238.00
DE934,48424.00
DEB31,48561.00
AT333,48753.00
BE342,49125.00
EL533,49519.00
DE942,50195.00
DEB38,50378.00
BE252,51560.00
DE222,52469.00
SI038,52544.00
DEB36,53148.00
BE345,53791.00
DE262,54032.00
DE121,55123.00
CH053,55234.00
DEG0H,56196.00
ITG2A,56362.00
DE94H,56882.00
SI035,56962.00
BE343,57283.00
DE403,57873.00
EL413,58055.00
SE214,59249.00
DEB24,60603.00
AL033,61423.00
DEB1C,61587.00
BE258,61707.00
BE341,63062.00
DE213,63324.00
BE344,63424.00
DEG0E,63553.00
DEG05,65090.00
DE24C,66838.00
HR049,67028.00
DE24A,67135.00
BE353,67180.00
FI1D5,68437.00
DE273,68907.00
DEG0D,69655.00
UKL11,70073.00
DEB3G,70526.00
DE261,70527.00
SI033,70588.00
DE926,70975.00
DE24B,71845.00
DE401,72124.00
DE221,72404.00
DE23A,72504.00
FI1D8,73061.00
DE24D,73178.00
CH025,73419.00
EL432,74006.00
HR048,74521.00
DE242,74657.00
DEG0A,75009.00
DEB3D,75101.00
SI036,75559.00
NO073,75863.00
DE945,76278.00
FRJ14,76401.00
DE40F,76508.00
BE324,76520.00
AL013,76594.00
DE241,77592.00
DE941,77607.00
DE229,77656.00
BE336,77903.00
DE225,78355.00
DEF04,79487.00
DE266,79690.00
AT222,79901.00
EL523,80475.00
DEB15,80720.00
PT16H,80782.00
DEG0K,80868.00
DEE01,81237.00
BE334,81498.00
DE27A,81669.00
DEG0G,81947.00
CH052,81991.00
TRA13,82274.00
DEG0J,83051.00
DEB39,83330.00
RS229,83743.00
DEE04,83765.00
DEG07,83822.00
RS226,84244.00
ITF21,84379.00
DE267,84599.00
ES640,84689.00
ES64,84689.00
ES707,84793.00
ES630,84829.00
ES63,84829.00
BG311,84865.00
BE233,85378.00
PT11B,86466.00
DE247,86906.00
BE321,87125.00
6-Dec,87397.00
EL433,87582.00
TRB14,88198.00
DE21D,88467.00
DE94G,88624.00
ES417,89501.00
DEF01,89504.00
DEE06,89928.00
DEG0M,90118.00
DE268,90909.00
DE917,91307.00
AT341,91889.00
DE93A,92572.00
BE257,93040.00
PT181,93259.00
LT027,93695.00
DEG02,94152.00
DE237,94352.00
DE25C,94393.00
UKM61,94917.00
DEB3K,95113.00
DE249,95311.00
DE804,95818.00
DE277,96021.00
DE22C,96217.00
ES533,96620.00
DE21I,96680.00
ITG2B,96774.00
DE71B,96798.00
EL514,96845.00
AT113,96939.00
DEG0L,98159.00
DE94A,98460.00
DEB23,98561.00
TRA24,98907.00
DE40D,99078.00
HR034,99633.00
AT226,99663.00
DE21F,99726.00
DEB32,99845.00
UKM63,100012.00
DE402,100219.00
DE25A,100364.00
DEG06,100380.00
DE22B,100649.00
DE737,101017.00
EL622,101569.00
DE407,102638.00
DEG09,102912.00
DEB1D,102937.00
DE234,103109.00
DE265,103218.00
2-Dec,103366.00
DE246,103656.00
AT334,104418.00
DE912,104948.00
BG424,105421.00
PT186,105479.00
NL341,105499.00
DE215,105722.00
DE725,105878.00
DEB3F,106057.00
DEG0I,106356.00
UKC13,106522.00
BE253,106551.00
RS223,106917.00
HR045,107076.00
HR047,107186.00
PT11E,107860.00
BG322,108404.00
DEG0F,108742.00
BG325,109271.00
HR046,109537.00
NO052,109774.00
DEB3H,110356.00
DE40B,110476.00
EL527,110593.00
DEB21,110636.00
EL513,110666.00
DEA18,110994.00
DE214,111210.00
DEG03,111407.00
BG334,111597.00
EL512,111631.00
DE252,111962.00
DEE0D,111982.00
DE119,112010.00
RS221,112085.00
BE351,112159.00
BG324,112229.00
DEB22,112262.00
UKM94,112461.00
DE936,113517.00
BE331,113528.00
DE502,113634.00
DEB11,114024.00
SI031,114287.00
DE40G,114429.00
EL411,114805.00
SI044,115016.00
DE26B,115106.00
