areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2020-11-15,15830
overview,United Kingdom,K02000001,2020-11-14,15315
overview,United Kingdom,K02000001,2020-11-13,15272
overview,United Kingdom,K02000001,2020-11-12,14950
overview,United Kingdom,K02000001,2020-11-11,14775
overview,United Kingdom,K02000001,2020-11-10,14100
overview,United Kingdom,K02000001,2020-11-09,14273
overview,United Kingdom,K02000001,2020-11-08,13702
overview,United Kingdom,K02000001,2020-11-07,13307
overview,United Kingdom,K02000001,2020-11-06,13201
overview,United Kingdom,K02000001,2020-11-05,13038
overview,United Kingdom,K02000001,2020-11-04,13103
overview,United Kingdom,K02000001,2020-11-03,13063
overview,United Kingdom,K02000001,2020-11-02,12438
overview,United Kingdom,K02000001,2020-11-01,11591
overview,United Kingdom,K02000001,2020-10-31,11659
overview,United Kingdom,K02000001,2020-10-30,11240
overview,United Kingdom,K02000001,2020-10-29,11059
overview,United Kingdom,K02000001,2020-10-28,10826
overview,United Kingdom,K02000001,2020-10-27,10440
overview,United Kingdom,K02000001,2020-10-26,9639
overview,United Kingdom,K02000001,2020-10-25,9332
overview,United Kingdom,K02000001,2020-10-24,8842
overview,United Kingdom,K02000001,2020-10-23,8500
overview,United Kingdom,K02000001,2020-10-22,7984
overview,United Kingdom,K02000001,2020-10-21,7829
overview,United Kingdom,K02000001,2020-10-20,7560
overview,United Kingdom,K02000001,2020-10-19,7043
overview,United Kingdom,K02000001,2020-10-18,6558
overview,United Kingdom,K02000001,2020-10-17,6288
overview,United Kingdom,K02000001,2020-10-16,6048
overview,United Kingdom,K02000001,2020-10-15,5703
overview,United Kingdom,K02000001,2020-10-14,5406
overview,United Kingdom,K02000001,2020-10-13,5058
overview,United Kingdom,K02000001,2020-10-12,4770
overview,United Kingdom,K02000001,2020-10-11,4490
overview,United Kingdom,K02000001,2020-10-10,4187
overview,United Kingdom,K02000001,2020-10-09,3995
overview,United Kingdom,K02000001,2020-10-08,3920
overview,United Kingdom,K02000001,2020-10-07,3745
overview,United Kingdom,K02000001,2020-10-06,3497
overview,United Kingdom,K02000001,2020-10-05,3234
overview,United Kingdom,K02000001,2020-10-04,2927
overview,United Kingdom,K02000001,2020-10-03,2748
overview,United Kingdom,K02000001,2020-10-02,2606
overview,United Kingdom,K02000001,2020-10-01,2494
overview,United Kingdom,K02000001,2020-09-30,2433
overview,United Kingdom,K02000001,2020-09-29,2327
overview,United Kingdom,K02000001,2020-09-28,2309
overview,United Kingdom,K02000001,2020-09-27,2098
overview,United Kingdom,K02000001,2020-09-26,1948
overview,United Kingdom,K02000001,2020-09-25,1931
overview,United Kingdom,K02000001,2020-09-24,1765
overview,United Kingdom,K02000001,2020-09-23,1659
overview,United Kingdom,K02000001,2020-09-22,1580
overview,United Kingdom,K02000001,2020-09-21,1506
overview,United Kingdom,K02000001,2020-09-20,1351
overview,United Kingdom,K02000001,2020-09-19,1253
overview,United Kingdom,K02000001,2020-09-18,1177
overview,United Kingdom,K02000001,2020-09-17,1121
overview,United Kingdom,K02000001,2020-09-16,1061
overview,United Kingdom,K02000001,2020-09-15,1032
overview,United Kingdom,K02000001,2020-09-14,942
overview,United Kingdom,K02000001,2020-09-13,803
overview,United Kingdom,K02000001,2020-09-12,773
overview,United Kingdom,K02000001,2020-09-11,739
overview,United Kingdom,K02000001,2020-09-10,916
overview,United Kingdom,K02000001,2020-09-09,896
overview,United Kingdom,K02000001,2020-09-08,870
overview,United Kingdom,K02000001,2020-09-07,876
overview,United Kingdom,K02000001,2020-09-06,791
overview,United Kingdom,K02000001,2020-09-05,785
overview,United Kingdom,K02000001,2020-09-04,790
overview,United Kingdom,K02000001,2020-09-03,783
overview,United Kingdom,K02000001,2020-09-02,769
overview,United Kingdom,K02000001,2020-09-01,829
overview,United Kingdom,K02000001,2020-08-31,822
overview,United Kingdom,K02000001,2020-08-30,799
overview,United Kingdom,K02000001,2020-08-29,797
overview,United Kingdom,K02000001,2020-08-28,770
overview,United Kingdom,K02000001,2020-08-27,788
overview,United Kingdom,K02000001,2020-08-26,777
overview,United Kingdom,K02000001,2020-08-25,794
overview,United Kingdom,K02000001,2020-08-24,819
overview,United Kingdom,K02000001,2020-08-23,813
overview,United Kingdom,K02000001,2020-08-22,886
overview,United Kingdom,K02000001,2020-08-21,833
overview,United Kingdom,K02000001,2020-08-20,867
overview,United Kingdom,K02000001,2020-08-19,869
overview,United Kingdom,K02000001,2020-08-18,893
overview,United Kingdom,K02000001,2020-08-17,920
overview,United Kingdom,K02000001,2020-08-16,917
overview,United Kingdom,K02000001,2020-08-15,912
overview,United Kingdom,K02000001,2020-08-14,933
overview,United Kingdom,K02000001,2020-08-13,945
overview,United Kingdom,K02000001,2020-08-12,937
overview,United Kingdom,K02000001,2020-08-11,965
overview,United Kingdom,K02000001,2020-08-10,1012
overview,United Kingdom,K02000001,2020-08-09,909
overview,United Kingdom,K02000001,2020-08-08,934
overview,United Kingdom,K02000001,2020-08-07,1013
overview,United Kingdom,K02000001,2020-08-06,1081
overview,United Kingdom,K02000001,2020-08-05,1113
overview,United Kingdom,K02000001,2020-08-04,1137
overview,United Kingdom,K02000001,2020-08-03,1167
overview,United Kingdom,K02000001,2020-08-02,1167
overview,United Kingdom,K02000001,2020-08-01,1211
overview,United Kingdom,K02000001,2020-07-31,1194
overview,United Kingdom,K02000001,2020-07-30,1243
overview,United Kingdom,K02000001,2020-07-29,1264
overview,United Kingdom,K02000001,2020-07-28,1284
overview,United Kingdom,K02000001,2020-07-27,1280
overview,United Kingdom,K02000001,2020-07-26,1294
overview,United Kingdom,K02000001,2020-07-25,1265
overview,United Kingdom,K02000001,2020-07-24,1354
overview,United Kingdom,K02000001,2020-07-23,1451
overview,United Kingdom,K02000001,2020-07-22,1643
overview,United Kingdom,K02000001,2020-07-21,1517
overview,United Kingdom,K02000001,2020-07-20,1608
overview,United Kingdom,K02000001,2020-07-19,1621
overview,United Kingdom,K02000001,2020-07-18,1656
overview,United Kingdom,K02000001,2020-07-17,1681
overview,United Kingdom,K02000001,2020-07-16,1697
overview,United Kingdom,K02000001,2020-07-15,1838
overview,United Kingdom,K02000001,2020-07-14,1868
overview,United Kingdom,K02000001,2020-07-13,1964
overview,United Kingdom,K02000001,2020-07-12,1955
overview,United Kingdom,K02000001,2020-07-11,1947
overview,United Kingdom,K02000001,2020-07-10,2095
overview,United Kingdom,K02000001,2020-07-09,2181
overview,United Kingdom,K02000001,2020-07-08,2260
overview,United Kingdom,K02000001,2020-07-07,2399
overview,United Kingdom,K02000001,2020-07-06,2501
overview,United Kingdom,K02000001,2020-07-05,2554
overview,United Kingdom,K02000001,2020-07-04,2593
overview,United Kingdom,K02000001,2020-07-03,2725
overview,United Kingdom,K02000001,2020-07-02,2849
overview,United Kingdom,K02000001,2020-07-01,2970
overview,United Kingdom,K02000001,2020-06-30,3151
overview,United Kingdom,K02000001,2020-06-29,3496
overview,United Kingdom,K02000001,2020-06-28,3315
overview,United Kingdom,K02000001,2020-06-27,3291
overview,United Kingdom,K02000001,2020-06-26,3368
overview,United Kingdom,K02000001,2020-06-25,3590
overview,United Kingdom,K02000001,2020-06-24,3737
overview,United Kingdom,K02000001,2020-06-23,3846
overview,United Kingdom,K02000001,2020-06-22,3965
overview,United Kingdom,K02000001,2020-06-21,3902
overview,United Kingdom,K02000001,2020-06-20,3930
overview,United Kingdom,K02000001,2020-06-19,4082
overview,United Kingdom,K02000001,2020-06-18,4219
overview,United Kingdom,K02000001,2020-06-17,4348
overview,United Kingdom,K02000001,2020-06-16,4488
overview,United Kingdom,K02000001,2020-06-15,4487
overview,United Kingdom,K02000001,2020-06-14,4517
overview,United Kingdom,K02000001,2020-06-13,4518
overview,United Kingdom,K02000001,2020-06-12,4659
overview,United Kingdom,K02000001,2020-06-11,4728
overview,United Kingdom,K02000001,2020-06-10,4969
overview,United Kingdom,K02000001,2020-06-09,5227
overview,United Kingdom,K02000001,2020-06-08,5408
overview,United Kingdom,K02000001,2020-06-07,5429
overview,United Kingdom,K02000001,2020-06-06,5631
overview,United Kingdom,K02000001,2020-06-05,5841
overview,United Kingdom,K02000001,2020-06-04,5996
overview,United Kingdom,K02000001,2020-06-03,6254
overview,United Kingdom,K02000001,2020-06-02,6448
overview,United Kingdom,K02000001,2020-06-01,6632
overview,United Kingdom,K02000001,2020-05-31,6580
overview,United Kingdom,K02000001,2020-05-30,6613
overview,United Kingdom,K02000001,2020-05-29,6904
overview,United Kingdom,K02000001,2020-05-28,7206
overview,United Kingdom,K02000001,2020-05-27,7467
overview,United Kingdom,K02000001,2020-05-26,7790
overview,United Kingdom,K02000001,2020-05-25,7885
overview,United Kingdom,K02000001,2020-05-24,7859
overview,United Kingdom,K02000001,2020-05-23,7856
overview,United Kingdom,K02000001,2020-05-22,8220
overview,United Kingdom,K02000001,2020-05-21,8257
overview,United Kingdom,K02000001,2020-05-20,8505
overview,United Kingdom,K02000001,2020-05-19,8905
overview,United Kingdom,K02000001,2020-05-18,9091
overview,United Kingdom,K02000001,2020-05-17,9116
overview,United Kingdom,K02000001,2020-05-16,9097
overview,United Kingdom,K02000001,2020-05-15,9489
overview,United Kingdom,K02000001,2020-05-14,9692
overview,United Kingdom,K02000001,2020-05-13,10077
overview,United Kingdom,K02000001,2020-05-12,10329
overview,United Kingdom,K02000001,2020-05-11,10645
overview,United Kingdom,K02000001,2020-05-10,10418
overview,United Kingdom,K02000001,2020-05-09,10688
overview,United Kingdom,K02000001,2020-05-08,10678
overview,United Kingdom,K02000001,2020-05-07,11147
overview,United Kingdom,K02000001,2020-05-06,11664
overview,United Kingdom,K02000001,2020-05-05,12146
overview,United Kingdom,K02000001,2020-05-04,12477
overview,United Kingdom,K02000001,2020-05-03,12591
overview,United Kingdom,K02000001,2020-05-02,12747
overview,United Kingdom,K02000001,2020-05-01,13034
overview,United Kingdom,K02000001,2020-04-30,13458
overview,United Kingdom,K02000001,2020-04-29,13833
overview,United Kingdom,K02000001,2020-04-28,14092
overview,United Kingdom,K02000001,2020-04-27,14772
overview,United Kingdom,K02000001,2020-04-26,14674
overview,United Kingdom,K02000001,2020-04-25,14779
overview,United Kingdom,K02000001,2020-04-24,15317
overview,United Kingdom,K02000001,2020-04-23,15934
overview,United Kingdom,K02000001,2020-04-22,16500
overview,United Kingdom,K02000001,2020-04-21,17076
overview,United Kingdom,K02000001,2020-04-20,17335
overview,United Kingdom,K02000001,2020-04-19,17456
overview,United Kingdom,K02000001,2020-04-18,17443
overview,United Kingdom,K02000001,2020-04-17,17304
overview,United Kingdom,K02000001,2020-04-16,18259
overview,United Kingdom,K02000001,2020-04-15,18531
overview,United Kingdom,K02000001,2020-04-14,19234
overview,United Kingdom,K02000001,2020-04-13,19372
overview,United Kingdom,K02000001,2020-04-12,19851
overview,United Kingdom,K02000001,2020-04-11,19495
overview,United Kingdom,K02000001,2020-04-10,19619
overview,United Kingdom,K02000001,2020-04-09,19497
overview,United Kingdom,K02000001,2020-04-08,19339
overview,United Kingdom,K02000001,2020-04-07,18960
overview,United Kingdom,K02000001,2020-04-06,18259
overview,United Kingdom,K02000001,2020-04-05,17781
overview,United Kingdom,K02000001,2020-04-04,16589
overview,United Kingdom,K02000001,2020-04-03,14730
overview,United Kingdom,K02000001,2020-04-02,13256
overview,United Kingdom,K02000001,2020-04-01,13108
overview,United Kingdom,K02000001,2020-03-31,12205
overview,United Kingdom,K02000001,2020-03-30,10732
overview,United Kingdom,K02000001,2020-03-29,9237
overview,United Kingdom,K02000001,2020-03-28,8019
overview,United Kingdom,K02000001,2020-03-27,7043
